cont_name cell control ex_control all
design1 DAneurons AIW002 SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO,SNCA-KO AIW002,SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO,SNCA-KO
design2 DAneurons AIW002 SNCA-A53T AIW002,SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO,SNCA-KO
design3 DAneurons AIW002 GBA-KO AIW002,SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO,SNCA-KO
design4 DAneurons AIW002 Parkin-KO AIW002,SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO,SNCA-KO
design5 DAneurons AIW002 PINK1-KO AIW002,SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO,SNCA-KO
design6 DAneurons AIW002 SNCA-KO AIW002,SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO,SNCA-KO
design7 DAneurons AIW002 SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO AIW002,SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO,SNCA-KO
design8 DAneurons AIW002 SNCA-A53T,Parkin-KO,PINK1-KO AIW002,SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO,SNCA-KO
design9 DAneurons AIW002 Parkin-KO,PINK1-KO AIW002,SNCA-A53T,GBA-KO,Parkin-KO,PINK1-KO,SNCA-KO
